Date,District,Estate,Price,Unit Address,Floor,Block,Room,Area
2021/12/20,Kennedy Town,60 Victoria Road,9.8,1#/F Room B,1,,B,633
2021/12/20,Kennedy Town,Cheong Yue Mansion,2,1#/F Room B,1,,B,339
2021/12/20,Kennedy Town,Ka Fu Building,7.84,BLOCK B 1#/F Room B1,1,BLOCK B,B1,672
2021/12/20,Shek Tong Tsui,Chong Yip Centre,5.55,BLOCK B 5/F Room G,5,BLOCK B,G,452
2021/12/20,Sai Wan Ho,Grand Promenade,7.16,TOWER 5 2#/F Room H,2,TOWER 5,H,436
2021/12/20,North Point,Ka Wai Building,5.45,BLOCK A 2#/F Room A4,2,BLOCK A,A4,341
2021/12/20,South Horizons,South Horizons,11.91,TOWER 13 7/F Room A,7,TOWER 13,A,798
2021/12/20,Shaukeiwan,Hoi Fung Centre,5.6,1#/F Room E,1,,E,503
2021/12/20,Wan Chai,Kwong Sang Hong Building,5.15,BLOCK D 2#/F Room Q,2,BLOCK D,Q,482
2021/12/20,Sai Wan Ho,Tai On Building,3.7,3/F Room 41,3,,41,465
2021/12/20,Baguio Villa,Baguio Villa,16.88,BLOCK 19 1#/F Room D,1,BLOCK 19,D,1520
2021/12/20,Sai Wan Ho,ISLAND RESIDENCE,9.75,7/F Room C,7,,C,500
2021/12/20,Chai Wan,Island Resort,10.3,TOWER 3 4#/F Room H,4,TOWER 3,H,824
2021/12/20,Sai Wan Ho,Tung Hei Court,4.3,WAH HEI HOUSE--BLOCK C 1#/F Room 8,1,WAH HEI HOUSE--BLOCK C,8,751
2021/12/20,Sheung Wan,One Pacific Heights,9.28,2#/F Room D,2,,D,531
2021/12/20,Ap Lei Chau,The Upper South,5.06,1#/F Room B,1,,B,186
2021/12/20,Happy Valley,Fortune Building,11.68,5/F Room B,5,,B,1100
2021/12/20,Sheung Wan,Dawning Height,8.12,1#/F Room C,1,,C,538
2021/12/20,Sai Ying Pun,Imperial Terrace,6.06,5/F Room A,5,,A,469
2021/12/20,North Point,Island Place,17.3,ONE ISLAND PLACE 3#/F Room A,3,ONE ISLAND PLACE,A,974
2021/12/20,North Point,Scala Mansion,5.4,8/F Room C,8,,C,450
2021/12/20,North Point,City Garden,20.88,BLOCK 8 1#/F Room E,1,BLOCK 8,E,1176
2021/12/20,Tin Hau,Park Towers,23.6,TOWER I 2#/F Room E,2,TOWER I,E,1210
2021/12/20,North Point,Ka Wai Building,4.85,BLOCK A 9/F Room A1,9,BLOCK A,A1,365
2021/12/20,Western mid-levels,Floral Tower,8,1#/F Room C,1,,C,436
2021/12/20,Wan Chai,Spring Garden Mansion,5,1#/F Room A,1,,A,510
2021/12/20,Kennedy Town,Luen Gay Apartments,5.38,1#/F Room 10,1,,10,500
2021/12/20,Sheung Wan,Hollywood Terrace,12.2,TOWER B 1#/F Room F,1,TOWER B,F,755
2021/12/20,Sai Wan Ho,Parker33,4.4,1#/F Room J,1,,J,211
2021/12/20,Wan Chai,The Avenue,11.88,TOWER 1 2#/F Room C,2,TOWER 1,C,431
2021/12/20,Wan Chai,Australia House,6.25,1#/F Room 9,1,,9,414
2021/12/20,Sheung Wan,Queen's Terrace,10.5,TOWER 3 1#/F Room F,1,TOWER 3,F,695
2021/12/20,Sai Ying Pun,Two．Artlane,5.94,1#/F Room H,1,,H,214
2021/12/17,Heng Fa Chuen,Heng Fa Chuen,8.68,BLOCK 30 1#/F Room 7,1,BLOCK 30,7,604
2021/12/17,Sai Ying Pun,Tong Nam Mansion,7.8,9/F Room B,9,,B,595
2021/12/17,Sheung Wan,Ka Fu Building,16.5,1#/F Room A,1,,A,1212
2021/12/17,Sai Ying Pun,King Ming Mansion,6.48,6/F Room B,6,,B,488
2021/12/17,Wan Chai,Newman House,8.5,9/F Room D,9,,D,576
2021/12/17,Heng Fa Chuen,Heng Fa Chuen,9.08,BLOCK 17 1#/F Room 4,1,BLOCK 17,4,631
2021/12/17,Shaukeiwan,Sun Sing Centre,4.75,BLOCK C 2#/F Room C1,2,BLOCK C,C1,342
2021/12/17,Sai Ying Pun,Richsun Garden,5.28,1#/F Room B,1,,B,376
2021/12/17,Pok Fu Lam,Chi Fu Fa Yuen,7.28,BLOCK H-20 7/F Room D,7,BLOCK H-20,D,518
2021/12/17,Taikoo Shing,TaiKoo Shing,1.9,TUNG SHAN 2#/F Room B,2,TUNG SHAN,B,894
2021/12/17,Southern District,Residence Bel-Air,36.6,TOWER 8 5/F Room A,5,TOWER 8,A,1667
2021/12/17,Wan Chai,Wai Sun Building,4.28,2/F Room B,2,,B,348
2021/12/17,Western mid-levels,Casa Bella,15.1,2#/F Room C,2,,C,805
2021/12/17,Happy Valley,Richview Villa,9.73,3/F Room A,3,,A,780
2021/12/17,Happy Valley,King Cheung Mansion,4.98,1#/F Room F,1,,F,620
2021/12/17,Happy Valley,Pioneer Court,14.98,8/F Room C,8,,C,747
2021/12/17,Western mid-levels,Vantage Park,20.6,BLOCK 1 2#/F Room E,2,BLOCK 1,E,987
2021/12/17,Sai Ying Pun,Novum West,9.5,TOWER 5 2#/F Room F,2,TOWER 5,F,358
2021/12/17,Chai Wan,BayView Park,8.9,1#/F Room C,1,,C,851
2021/12/17,Ap Lei Chau,Coble Court,5.13,6/F Room F,6,,F,324
2021/12/17,Taikoo Shing,TaiKoo Shing,13.15,MING KUNG 2#/F Room G,2,MING KUNG,G,675
2021/12/17,Pok Fu Lam,Chi Fu Fa Yuen,6.66,BLOCK H-9 9/F Room D,9,BLOCK H-9,D,518
2021/12/17,Ap Lei Chau,Yue On Court,6.85,BLOCK E 6/F Room 5,6,BLOCK E,5,618
2021/12/17,North Point,City Garden,13.68,BLOCK 4 2#/F Room E,2,BLOCK 4,E,980
2021/12/17,Quarry Bay,Westlands Gardens,11.8,BLOCK C 2#/F Room 1,2,BLOCK C,1,980
2021/12/17,Quarry Bay,Yick Fat Building,4.1,1#/F Room 6,1,,6,450
2021/12/17,Sai Ying Pun,Ko Nga Court,7.45,1#/F Room E,1,,E,489
2021/12/17,Sheung Wan,Macro Garden,6.18,2#/F Room A,2,,A,512
2021/12/17,Sai Ying Pun,Two．Artlane,8.55,1#/F Room F,1,,F,282
2021/12/17,Sai Wan Ho,Parker33,4,2#/F Room G,2,,G,209
2021/12/17,Sai Ying Pun,Two．Artlane,7.34,1#/F Room C,1,,C,253
2021/12/17,North Point,Kings Tower,2.5,1#/F Room 6,1,,6,800
2021/12/17,Shaukeiwan,Fok Sing Building,3.35,9/F Room A,9,,A,600
2021/12/17,Quarry Bay,Sunway Gardens,7.5,BLOCK C 1#/F Room 3,1,BLOCK C,3,671
2021/12/16,Chai Wan,New Jade Garden,9.18,BLOCK 2 2#/F Room G,2,BLOCK 2,G,705
2021/12/16,Sai Ying Pun,Rockson Mansion,7.25,2#/F Room B,2,,B,570
2021/12/16,Wan Chai,No.1 Star Street,7.8,2#/F Room B,2,,B,410
2021/12/16,Shaukeiwan,Tung Tao Court,5.65,BLOCK A 3#/F Room 5,3,BLOCK A,5,518
2021/12/16,North Point,Ming Fai Building,4.9,BLOCK A 1#/F Room 3,1,BLOCK A,3,325
