Date,District,Estate,Price,Unit Address,Floor,Block,Room,Area,x,y
22/12/2021,Chai Wan,Greenwood Terrace,6.41,TOWER 5 2#/F Room A,2,TOWER 5,A,620,842273,814317
22/12/2021,Chai Wan,Shan Tsui Court,5.2,BLOCK B 9/F Room 3,9,BLOCK B,3,474,842093,814518
22/12/2021,Wan Chai,Lucky House,5.8,4/F Room B,4,,B,505,836222,815314
22/12/2021,Shaukeiwan,iUniQ Residence,7.68,7/F Room E,7,,E,622,841400,815513
22/12/2021,Wan Chai,One Wanchai,22.8,3#/F Room G,3,,G,1176,836004,815087
22/12/2021,South Horizons,South Horizons,9.2,TOWER 31 2#/F Room A,2,TOWER 31,A,659,833205,811583
22/12/2021,Chai Wan,Harmony Garden,5.7,BLOCK 2 1#/F Room C,1,BLOCK 2,C,693,843695,814134
22/12/2021,Quarry Bay,Nan Fung Sun Chuen,6.33,BLOCK NO.8 6/F Room B,6,BLOCK NO.8,B,474,840031,815960
22/12/2021,Kennedy Town,One South Lane,5.8,2#/F Room 05,2,,5,213,831942,816267
22/12/2021,Causeway Bay,Pearl City Mansion,8,3#/F Room C1,3,,C1,550,837169,815778
22/12/2021,Repulse Bay,Manhattan Tower,90,1#/F Room B,1,,B,2243,837528,811243
22/12/2021,Quarry Bay,The Floridian,17.5,TOWER 2 1#/F Room B,1,TOWER 2,B,1046,840572,816153
22/12/2021,Wan Chai,Yen Ying Building,3.48,2#/F Room B,2,,B,273,836168,815574
22/12/2021,Southern District,Residence Bel-Air,16.5,TOWER 1 4#/F Room C,4,TOWER 1,C,776,831704,813303
22/12/2021,Shaukeiwan,Belleve Court,5.07,BLOCK A 1#/F Room 6,1,BLOCK A,6,388,841135,815640
22/12/2021,Shek Tong Tsui,Chong Yip Centre,6.7,BLOCK C 2#/F Room F,2,BLOCK C,F,459,832151,816353
22/12/2021,Aberdeen,South Coast,6,2#/F Room B,2,,B,255,833451,812291
22/12/2021,Sai Wan Ho,Lei King Wan,11.88,SITE A KWUN FUNG MANSION 1/F Room B,1,SITE A KWUN FUNG MANSION,B,766,841119,816299
22/12/2021,North Point,Wing Shun Mansion,6.35,2/F Room A,2,,A,570,838296,816710
22/12/2021,Taikoo Shing,TaiKoo Shing,15,KAI TIEN 6/F Room B,6,KAI TIEN,B,902,840377,816477
22/12/2021,Quarry Bay,Tak Fat Building,4.38,5/F Room C,5,,C,374,839703,816661
22/12/2021,Tai Hang,The Legend,25.15,TOWER V 4#/F Room A,4,TOWER V,A,1170,838116,815095
22/12/2021,Shaukeiwan,Hong Wah Mansion,4.58,BLOCK 1 4/F Room E,4,BLOCK 1,E,334,841346,815488
22/12/2021,Kennedy Town,Jade Court,5.18,BLOCK B 2/F Room 6,2,BLOCK B,6,373,836813,822645
22/12/2021,Western mid-levels,Conduit Road 39,308,6#/F Room A,6,,A,6158,833179,815858
22/12/2021,Sai Ying Pun,Two Artlane,6.75,1#/F Room J,1,,J,244,832608,816499
22/12/2021,Sai Ying Pun,Kensington Mansion,4.46,1#/F Room B,1,,B,335,832562,816468
22/12/2021,Sai Ying Pun,Two Artlane,6.84,9/F Room B,9,,B,254,832608,816499
22/12/2021,Quarry Bay,Kornville,8,TOWER 1 5/F Room E,5,TOWER 1,E,675,839962,816048
22/12/2021,Western mid-levels,Glenealy Building,7.5,5/F Room B,5,,B,567,833937.2869,815529.2123
22/12/2021,Southern District,Residence Bel-Air,19.2,"BEL-AIR NO.8, BEL-AIR ON THE PEAK TOWER 1 2#/F Room D",2,"BEL-AIR NO.8, BEL-AIR ON THE PEAK TOWER 1",D,1053,831777,812722
21/12/2021,Quarry Bay,Kornhill Garden,8.2,BLOCK 1 2#/F Room D,2,BLOCK 1,D,587,840231,816241
21/12/2021,Kennedy Town,Cayman Rise,13.5,BLOCK 2 2#/F Room D,2,BLOCK 2,D,804,830901,815875
21/12/2021,Quarry Bay,Kornhill,17.25,BLOCK J 1#/F Room 13,1,BLOCK J,13,1056,840379,816007
21/12/2021,North Point,Kar Wan Building,2.38,2#/F Room C,2,,C,168,838244,816896
21/12/2021,Sai Ying Pun,Bohemian House,11,1#/F Room H,1,,H,460,832379,816537
21/12/2021,Heng Fa Chuen,Heng Fa Chuen,8.14,BLOCK 4 1#/F Room 6,1,BLOCK 4,6,556,842638,815379
21/12/2021,Chai Wan,New Jade Garden,7.38,BLOCK 4 1/F Room D,1,BLOCK 4,D,615,842457,813872
21/12/2021,Chai Wan,Island Resort,16.15,TOWER 9 4#/F Room B,4,TOWER 9,B,1203,843874,814228
21/12/2021,Chai Wan,Koway Court,7,BLOCK 1 1#/F Room F,1,BLOCK 1,F,620,842147,814184
21/12/2021,Sai Ying Pun,Wing Cheung Building,5.5,1#/F Room A,1,,A,367,832528,816294
21/12/2021,Taikoo Shing,TaiKoo Shing,7.25,NAN SHAN 1#/F Room C,1,NAN SHAN,C,675,840690,816260
21/12/2021,Pok Fu Lam,Chi Fu Fa Yuen,8.5,BLOCK H-19 2#/F Room B,2,BLOCK H-19,B,694,832173,813327
21/12/2021,Heng Fa Chuen,Heng Fa Chuen,8.21,BLOCK 2 1#/F Room 5,1,BLOCK 2,5,583,842687,815317
21/12/2021,Taikoo Shing,TaiKoo Shing,13.28,PO SHAN 1#/F Room G,1,PO SHAN,G,784,840652,816260
21/12/2021,Quarry Bay,Yick Fat Building,4.03,1#/F Room 6,1,,6,450,839955,816134
21/12/2021,Shaukeiwan,Tung Chun Court,4.6,KAM CHUN HOUSE--BLOCK A 2#/F Room 5,2,KAM CHUN HOUSE--BLOCK A,5,737,840946,815388
21/12/2021,Kennedy Town,The Belcher's,29.8,TOWER 5 5#/F Room F,5,TOWER 5,F,1398,831810,816232
21/12/2021,Sai Wan Ho,Hoi Lee Building,3.6,1#/F Room A,1,,A,348,835150,834329
21/12/2021,Aberdeen,Yue Fai Court,5.7,BLOCK D 4/F Room 4,4,BLOCK D,4,502,834193,812381
21/12/2021,North Point,Kiu Kwan Mansion,4.38,BLOCK B 8/F Room 7,8,BLOCK B,7,615,838588,816915
21/12/2021,North Point,Harbour Heights,10.2,NAM FUNG COURT 3#/F Room E,3,NAM FUNG COURT,E,719,837794,816558
21/12/2021,Tai Tam,The Redhill Peninsula,84.8,NO.62 PALM DRIVE,,NO.62 PALM,DRIVE,3164,841507.1646,810805.1275
21/12/2021,Sai Wan Ho,Tai On Building,4.15,2#/F Room 39,2,,39,465,833346,816172
21/12/2021,Sai Ying Pun,Two Artlane,10.07,9/F Room A,9,,A,381,832608,816499
21/12/2021,Sai Ying Pun,Two Artlane,6.96,1#/F Room D,1,,D,250,832608,816499
21/12/2021,Sai Ying Pun,Two Artlane,7.29,1#/F Room C,1,,C,253,832608,816499
21/12/2021,Sai Ying Pun,Two Artlane,6.1,1#/F Room K,1,,K,196,832608,816499
21/12/2021,Sai Ying Pun,Two Artlane,10.51,1#/F Room A,1,,A,381,832608,816499
21/12/2021,Sai Ying Pun,Two Artlane,6.09,1#/F Room H,1,,H,214,832608,816499
21/12/2021,Sai Ying Pun,Two Artlane,10.01,1#/F Room A,1,,A,381,832608,816499
21/12/2021,Sai Ying Pun,Two Artlane,7.09,1#/F Room E,1,,E,252,832608,816499
21/12/2021,North Point,Ming Yuet Building,3.84,4/F Room B,4,,B,317,838265,816899
21/12/2021,Taikoo Shing,TaiKoo Shing,17.9,PRIMROSE 6/F Room E,6,PRIMROSE,E,1029,840760,816516
20/12/2021,Chai Wan,FullView Garden,4.1,BLOCK 2 1#/F Room J,1,BLOCK 2,J,579,844057,813839
20/12/2021,Sai Ying Pun,Wing Cheung Building,5.8,2#/F Room B,2,,B,362,832528,816294
